"species","frequency_wc","freq"
"Matricaria discoidea","0.357","825"
"Medicago falcata","-0.508","464"
"Medicago lupulina","-0.207","1087"
"Medicago minima","-0.393","55"
"Medicago sativa","-0.083","139"
"Melampyrum arvense","-0.22","97"
"Melampyrum cristatum","-1.632","62"
"Melampyrum nemorosum","-1.794","267"
"Melampyrum pratense","-1.929","701"
"Melampyrum sylvaticum","-1.49","70"
"Melica ciliata","-1.171","50"
"Melica nutans","-1.957","1209"
"Melica picta","-1.818","34"
"Melica transsilvanica","-0.858","216"
"Melica uniflora","-1.98","523"
"Melilotus albus","-0.241","318"
"Melilotus dentatus","-0.206","61"
